Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;1.2909877300262451;0-10;Single bit-flip
iterations;lreg.cpp;141;2.844421625137329;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8154959678649902;0-10;Single bit-flip
a3;lreg.cpp;45;2.2956371307373047;0-10;Single bit-flip
i1;lreg.cpp;119;2.9120075702667236;0-10;Single bit-flip
T;lreg.cpp;43;6.107245922088623;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9328570365905762;0-10;Single bit-flip
y;lreg.cpp;42;6.305804252624512;0-10;Single bit-flip
y;lreg.cpp;42;2.878279209136963;0-10;Single bit-flip
bestMSE;lreg.cpp;152;2.6058883666992188;0-10;Single bit-flip
x;w_pow_compat.c;28;7.054025411605835;0-10;Single bit-flip
i2;lreg.cpp;73;5.076019048690796;0-10;Single bit-flip
y;lreg.cpp;42;1.342855453491211;0-10;Single bit-flip
T;lreg.cpp;43;1.6899681091308594;0-10;Single bit-flip
argc;lreg.cpp;183;6.077906370162964;0-10;Single bit-flip
a2;lreg.cpp;45;4.863591909408569;0-10;Single bit-flip
y;w_pow_compat.c;28;7.723539352416992;0-10;Single bit-flip
T;lreg.cpp;43;2.056882858276367;0-10;Single bit-flip
__n;/usr/include/c++/7/ext/new_allocator.h;99;1.9320082664489746;0-10;Single bit-flip
a1;lreg.cpp;45;7.857482433319092;0-10;Single bit-flip
a3;lreg.cpp;45;6.50616192817688;0-10;Single bit-flip
T;lreg.cpp;43;3.08964204788208;0-10;Single bit-flip
aligned_heap_area;arena.c;446;5.55424952507019;0-10;Single bit-flip
MSE;lreg.cpp;153;2.0449657440185547;0-10;Single bit-flip
a2;lreg.cpp;45;4.218459844589233;0-10;Single bit-flip
x;lreg.cpp;41;2.7674691677093506;0-10;Single bit-flip
y;lreg.cpp;42;2.1394455432891846;0-10;Single bit-flip
x;lreg.cpp;41;1.6066179275512695;0-10;Single bit-flip
a3;lreg.cpp;45;4.125172138214111;0-10;Single bit-flip
y;lreg.cpp;42;7.2702813148498535;0-10;Single bit-flip
i3;lreg.cpp;73;4.544235944747925;0-10;Single bit-flip
x;lreg.cpp;41;6.231651306152344;0-10;Single bit-flip
x;lreg.cpp;41;1.4152500629425049;0-10;Single bit-flip
N;lreg.cpp;203;5.78479528427124;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3181657791137695;0-10;Single bit-flip
T;lreg.cpp;43;1.4873318672180176;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;0.6249308586120605;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1351478099822998;0-10;Single bit-flip
val;lreg.cpp;72;4.52262282371521;0-10;Single bit-flip
testCases;lreg.cpp;195;7.487974405288696;0-10;Single bit-flip
i3;lreg.cpp;87;2.538240909576416;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0116448402404785;0-10;Single bit-flip
i1;lreg.cpp;154;5.5288519859313965;0-10;Single bit-flip
T;lreg.cpp;43;2.77070689201355;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;0.4549860954284668;0-10;Single bit-flip
x;lreg.cpp;41;1.8296849727630615;0-10;Single bit-flip
x;lreg.cpp;41;2.136993169784546;0-10;Single bit-flip
T;lreg.cpp;43;6.976263523101807;0-10;Single bit-flip
T;lreg.cpp;43;1.545750379562378;0-10;Single bit-flip
x;lreg.cpp;41;2.488247871398926;0-10;Single bit-flip
y;lreg.cpp;42;1.6338348388671875;0-10;Single bit-flip
iterations;lreg.cpp;141;5.2931969165802;0-10;Single bit-flip
T;lreg.cpp;43;1.5721845626831055;0-10;Single bit-flip
_Num;/usr/include/c++/7/bits/stl_algobase.h;366;3.189119815826416;0-10;Single bit-flip
x;w_pow_compat.c;28;4.928768157958984;0-10;Single bit-flip
T;lreg.cpp;43;6.513901233673096;0-10;Single bit-flip
y;lreg.cpp;42;5.906486988067627;0-10;Single bit-flip
