Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_global;rtld.c;231;1.879232406616211;0-10;Single bit-flip
predictions;lreg.cpp;203;6.315864324569702;0-10;Single bit-flip
testCases;lreg.cpp;195;6.589492321014404;0-10;Single bit-flip
start_time;rtld.c;308;1.5674281120300293;0-10;Single bit-flip
iterations;lreg.cpp;141;6.217976808547974;0-10;Single bit-flip
a1;lreg.cpp;45;2.011080741882324;0-10;Single bit-flip
testCases;lreg.cpp;195;3.57185435295105;0-10;Single bit-flip
a3;lreg.cpp;45;4.523457050323486;0-10;Single bit-flip
T;lreg.cpp;43;9.568533182144165;0-10;Single bit-flip
i1;lreg.cpp;103;6.493039608001709;0-10;Single bit-flip
audit_list_string;rtld.c;134;1.3380639553070068;0-10;Single bit-flip
y;lreg.cpp;42;4.490421533584595;0-10;Single bit-flip
a3;lreg.cpp;45;5.322671175003052;0-10;Single bit-flip
predictions;lreg.cpp;203;4.247059106826782;0-10;Single bit-flip
_dl_rtld_libname2;rtld.c;302;1.6869409084320068;0-10;Single bit-flip
audit_list;rtld.c;142;1.497138500213623;0-10;Single bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.9510796070098877;0-10;Single bit-flip
N;lreg.cpp;141;3.0190982818603516;0-10;Single bit-flip
predictions;lreg.cpp;203;3.1181278228759766;0-10;Single bit-flip
a2;lreg.cpp;45;3.356621026992798;0-10;Single bit-flip
temp;lreg.cpp;202;3.971339464187622;0-10;Single bit-flip
error;lreg.cpp;86;9.777480602264404;0-10;Single bit-flip
a1;lreg.cpp;45;9.319725275039673;0-10;Single bit-flip
testCases;lreg.cpp;195;2.5010805130004883;0-10;Single bit-flip
predictions;lreg.cpp;203;1.7515649795532227;0-10;Single bit-flip
iterations;lreg.cpp;141;5.849109411239624;0-10;Single bit-flip
__PRETTY_FUNCTION__;rtld.c;0;1.4529352188110352;0-10;Single bit-flip
testCases;lreg.cpp;195;3.0688698291778564;0-10;Single bit-flip
