Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
predictions;lreg.cpp;203;6.386196136474609;0-10;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;7.014692068099976;0-10;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;1.4541325569152832;0-10;Single bit-flip
i3;lreg.cpp;119;2.3281030654907227;0-10;Single bit-flip
T;lreg.cpp;43;2.6167328357696533;0-10;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;4.788780689239502;0-10;Single bit-flip
T;lreg.cpp;43;3.4834768772125244;0-10;Single bit-flip
pos;lreg.cpp;101;4.147881031036377;0-10;Single bit-flip
pD;lreg.cpp;102;3.3204283714294434;0-10;Single bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;3.3688278198242188;0-10;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;4.228197336196899;0-10;Single bit-flip
y;lreg.cpp;42;2.0121281147003174;0-10;Single bit-flip
val;lreg.cpp;72;9.10207748413086;0-10;Single bit-flip
iterations;lreg.cpp;141;3.3844730854034424;0-10;Single bit-flip
predictions;lreg.cpp;203;2.6566262245178223;0-10;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;8.540342092514038;0-10;Single bit-flip
predictions;lreg.cpp;203;2.343013286590576;0-10;Single bit-flip
T;lreg.cpp;43;4.768219232559204;0-10;Single bit-flip
T;lreg.cpp;43;2.5854547023773193;0-10;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;3.207587480545044;0-10;Single bit-flip
iterations;lreg.cpp;141;4.278982162475586;0-10;Single bit-flip
predictions;lreg.cpp;203;2.3791110515594482;0-10;Single bit-flip
bestMSE;lreg.cpp;152;4.794591665267944;0-10;Single bit-flip
y;lreg.cpp;42;7.553622007369995;0-10;Single bit-flip
v;lreg.cpp;71;5.53386926651001;0-10;Single bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;3.0036938190460205;0-10;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;1.0994014739990234;0-10;Single bit-flip
iterations;lreg.cpp;141;5.150357246398926;0-10;Single bit-flip
pD;lreg.cpp;102;6.215055465698242;0-10;Random bit-flip
x;lreg.cpp;41;4.625914573669434;0-10;Random bit-flip
error;lreg.cpp;86;2.660933017730713;0-10;Random bit-flip
error;lreg.cpp;86;8.180971145629883;0-10;Random bit-flip
error;lreg.cpp;86;3.045684576034546;0-10;Random bit-flip
val;lreg.cpp;72;1.8383440971374512;0-10;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;4.746806383132935;0-10;Random bit-flip
y;lreg.cpp;42;7.248804807662964;0-10;Random bit-flip
pos;lreg.cpp;101;10.707606077194214;0-10;Random bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;8.255461692810059;0-10;Random bit-flip
T;lreg.cpp;43;2.983701467514038;0-10;Random bit-flip
v;lreg.cpp;71;1.6049842834472656;0-10;Random bit-flip
T;lreg.cpp;43;2.5305492877960205;0-10;Random bit-flip
PD;lreg.cpp;118;6.46012806892395;0-10;Random bit-flip
pD;lreg.cpp;102;1.4620723724365234;0-10;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;3.8230929374694824;0-10;Random bit-flip
pD;lreg.cpp;102;2.776263952255249;0-10;Random bit-flip
T;lreg.cpp;43;1.5307209491729736;0-10;Random bit-flip
T;lreg.cpp;43;0.9657554626464844;0-10;Random bit-flip
pD;lreg.cpp;102;3.846618890762329;0-10;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;5.086371421813965;0-10;Random bit-flip
y;lreg.cpp;42;2.152799129486084;0-10;Random bit-flip
val;lreg.cpp;72;2.180361747741699;0-10;Random bit-flip
pos;lreg.cpp;101;1.719397783279419;0-10;Random bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;11.368406772613525;0-10;Random bit-flip
x;lreg.cpp;41;1.7537312507629395;0-10;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;2.6333372592926025;0-10;Random bit-flip
v;lreg.cpp;71;4.568019390106201;0-10;Random bit-flip
T;lreg.cpp;43;2.0709683895111084;0-10;Random bit-flip
T;lreg.cpp;43;2.3585751056671143;0-10;Double bit-flip
