"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",63.2183908045977,"Lreg"
"3","0.2",62.0689655172414,"Lreg"
"4","0.3",62.0689655172414,"Lreg"
"5","0.4",62.0689655172414,"Lreg"
"6","0.5",62.0689655172414,"Lreg"
"7","1",60.9195402298851,"Lreg"
"8","2",59.7701149425287,"Lreg"
"9","3",57.4712643678161,"Lreg"
"10","4",57.4712643678161,"Lreg"
"11","5",57.4712643678161,"Lreg"
"12","8",57.4712643678161,"Lreg"
"13","10",57.4712643678161,"Lreg"
"14","12",57.4712643678161,"Lreg"
"15","15",57.4712643678161,"Lreg"
