Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;91;1.8454484939575195;0-10;Single bit-flip
detected;lreg.cpp;57;4.493682384490967;0-10;Single bit-flip
alpha;lreg.cpp;230;8.290754556655884;0-10;Single bit-flip
x;lreg.cpp;34;8.060604095458984;0-10;Single bit-flip
T1;lreg.cpp;36;9.907581329345703;0-10;Single bit-flip
pos2;lreg.cpp;135;5.694002151489258;0-10;Single bit-flip
detected;lreg.cpp;58;7.126252174377441;0-10;Single bit-flip
three33;../sysdeps/ieee754/dbl-64/uexp.h;64;7.126518487930298;0-10;Single bit-flip
T1;lreg.cpp;36;1.0553100109100342;0-10;Single bit-flip
detected;lreg.cpp;58;6.80419135093689;0-10;Single bit-flip
y;lreg.cpp;35;8.521008491516113;0-10;Single bit-flip
ranges;dl-reloc.c;258;0.991973876953125;0-10;Single bit-flip
T2;lreg.cpp;37;3.611029863357544;0-10;Single bit-flip
i2;lreg.cpp;229;3.0967888832092285;0-10;Single bit-flip
i1;lreg.cpp;188;2.554133415222168;0-10;Single bit-flip
i2;lreg.cpp;188;7.354267120361328;0-10;Single bit-flip
iterations;lreg.cpp;231;11.353555917739868;0-10;Single bit-flip
yChecksum;lreg.cpp;40;3.8838677406311035;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;1.0472581386566162;0-10;Single bit-flip
x;lreg.cpp;34;2.393932819366455;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.5465853214263916;0-10;Single bit-flip
pD;lreg.cpp;136;5.284059762954712;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;0.781970739364624;0-10;Single bit-flip
detected;lreg.cpp;58;6.5534937381744385;0-10;Single bit-flip
prevT;lreg.cpp;184;3.634793996810913;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7920007705688477;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3035914897918701;0-10;Single bit-flip
x;w_pow_compat.c;28;4.582313537597656;0-10;Single bit-flip
i1;lreg.cpp;124;2.5024008750915527;0-10;Single bit-flip
x;lreg.cpp;34;4.218345880508423;0-10;Single bit-flip
