Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
testCases;lreg.cpp;229;1.8110861778259277;0-3;Single bit-flip
testCases;lreg.cpp;229;0.8250174522399902;0-3;Single bit-flip
iter1;lreg.cpp;177;1.9659850597381592;0-3;Single bit-flip
testCases;lreg.cpp;229;2.0218281745910645;0-3;Single bit-flip
testCases;lreg.cpp;229;1.718351125717163;0-3;Single bit-flip
testCases;lreg.cpp;229;1.8175172805786133;0-3;Single bit-flip
predictions;lreg.cpp;236;2.4783883094787598;0-3;Single bit-flip
predictions;lreg.cpp;236;1.0454587936401367;0-3;Single bit-flip
iter1;lreg.cpp;177;2.1690497398376465;0-3;Single bit-flip
testCases;lreg.cpp;229;1.5696098804473877;0-3;Single bit-flip
iter1;lreg.cpp;177;2.2741706371307373;0-3;Single bit-flip
predictions;lreg.cpp;236;1.258554458618164;0-3;Single bit-flip
predictions;lreg.cpp;236;1.2173526287078857;0-3;Single bit-flip
testCases;lreg.cpp;229;2.057358741760254;0-3;Single bit-flip
_dl_rtld_libname2;rtld.c;302;10.171725511550903;0-3;Single bit-flip
predictions;lreg.cpp;236;1.813016414642334;0-3;Random bit-flip
iter1;lreg.cpp;177;1.3836359977722168;0-3;Random bit-flip
testCases;lreg.cpp;229;1.1804115772247314;0-3;Random bit-flip
iter1;lreg.cpp;177;2.876518487930298;0-3;Random bit-flip
iter1;lreg.cpp;177;2.1985864639282227;0-3;Random bit-flip
testCases;lreg.cpp;229;2.7673771381378174;0-3;Random bit-flip
testCases;lreg.cpp;229;1.8110296726226807;0-3;Random bit-flip
iter1;lreg.cpp;177;1.254401683807373;0-3;Random bit-flip
testCases;lreg.cpp;229;1.509247064590454;0-3;Random bit-flip
iter1;lreg.cpp;177;1.738905668258667;0-3;Random bit-flip
predictions;lreg.cpp;236;1.2680041790008545;0-3;Random bit-flip
iter1;lreg.cpp;177;1.6406261920928955;0-3;Random bit-flip
iter1;lreg.cpp;177;0.9398066997528076;0-3;Random bit-flip
iter1;lreg.cpp;177;1.9334440231323242;0-3;Random bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;1.4501285552978516;0-3;Random bit-flip
testCases;lreg.cpp;229;2.515751838684082;0-3;Random bit-flip
testCases;lreg.cpp;229;1.3562333583831787;0-3;Random bit-flip
iter1;lreg.cpp;177;1.5364866256713867;0-3;Random bit-flip
iter1;lreg.cpp;177;2.5554795265197754;0-3;Random bit-flip
iter1;lreg.cpp;177;2.209587574005127;0-3;Random bit-flip
iter1;lreg.cpp;177;0.9644148349761963;0-3;Random bit-flip
predictions;lreg.cpp;236;1.7552690505981445;0-3;Random bit-flip
testCases;lreg.cpp;229;2.8258700370788574;0-3;Random bit-flip
iter1;lreg.cpp;177;0.9583930969238281;0-3;Random bit-flip
iter1;lreg.cpp;177;0.9439041614532471;0-3;Random bit-flip
predictions;lreg.cpp;236;1.6734986305236816;0-3;Random bit-flip
iter1;lreg.cpp;177;0.6355280876159668;0-3;Double bit-flip
iter1;lreg.cpp;177;1.3723444938659668;0-3;Double bit-flip
T1;lreg.cpp;36;1.0147440433502197;0-3;Double bit-flip
predictions;lreg.cpp;236;1.701422929763794;0-3;Double bit-flip
testCases;lreg.cpp;229;0.8407039642333984;0-3;Double bit-flip
testCases;lreg.cpp;229;1.1645593643188477;0-3;Double bit-flip
iter1;lreg.cpp;177;1.8855311870574951;0-3;Double bit-flip
testCases;lreg.cpp;229;2.3776192665100098;0-3;Double bit-flip
iter1;lreg.cpp;177;1.5610859394073486;0-3;Double bit-flip
predictions;lreg.cpp;236;1.8047294616699219;0-3;Double bit-flip
predictions;lreg.cpp;236;1.1894972324371338;0-3;Double bit-flip
testCases;lreg.cpp;229;1.3431329727172852;0-3;Double bit-flip
iter1;lreg.cpp;177;1.3646900653839111;0-3;Double bit-flip
iter1;lreg.cpp;177;2.995835065841675;0-3;Double bit-flip
iter1;lreg.cpp;177;2.2969205379486084;0-3;Double bit-flip
predictions;lreg.cpp;236;1.9220209121704102;0-3;Double bit-flip
testCases;lreg.cpp;229;1.177964687347412;0-3;Double bit-flip
testCases;lreg.cpp;229;2.5979831218719482;0-3;Double bit-flip
iter1;lreg.cpp;177;1.9128570556640625;0-3;Double bit-flip
predictions;lreg.cpp;236;0.9772987365722656;0-3;Double bit-flip
predictions;lreg.cpp;236;1.1275579929351807;0-3;Double bit-flip
__pointer_chk_guard_local;rtld.c;96;2.034496307373047;0-3;Double bit-flip
testCases;lreg.cpp;229;1.5264153480529785;0-3;Double bit-flip
x;lreg.cpp;34;3.697661876678467;0-3;Double bit-flip
predictions;lreg.cpp;236;3.447850227355957;0-3;Double bit-flip
predictions;lreg.cpp;236;1.6259396076202393;0-3;Double bit-flip
iter1;lreg.cpp;177;1.5094258785247803;0-3;Double bit-flip
iter1;lreg.cpp;177;1.5569300651550293;0-3;Double bit-flip
