Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
alpha2;lreg.cpp;151;1.3423042297363281;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.4289357662200928;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.4241504669189453;0-3;Single bit-flip;1
i2;lreg.cpp;232;0.7385354042053223;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.508448839187622;0-3;Single bit-flip;1
y;lreg.cpp;35;1.9596145153045654;0-3;Single bit-flip;1
predictions;lreg.cpp;236;2.2180702686309814;0-3;Single bit-flip;1
iter2;lreg.cpp;177;3.5072872638702393;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.295304298400879;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.21958327293396;0-3;Single bit-flip;1
predictions;lreg.cpp;236;0.9902374744415283;0-3;Single bit-flip;1
i2;lreg.cpp;232;2.170355796813965;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.9004549980163574;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.968494176864624;0-3;Single bit-flip;1
i2;lreg.cpp;141;3.0114777088165283;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.6010043621063232;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.960221529006958;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.120603322982788;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.1648080348968506;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.7502942085266113;0-3;Single bit-flip;1
iter1;lreg.cpp;177;1.519859790802002;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.563175916671753;0-3;Single bit-flip;1
i2;lreg.cpp;127;1.1112558841705322;0-3;Single bit-flip;1
y;lreg.cpp;35;1.0106751918792725;0-3;Single bit-flip;1
iter1;lreg.cpp;177;1.2397842407226562;0-3;Single bit-flip;1
predictions;lreg.cpp;236;2.8693690299987793;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.465789794921875;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.4229977130889893;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.8226816654205322;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.5821993350982666;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.759371519088745;0-3;Single bit-flip;1
pos1;lreg.cpp;138;0.9851605892181396;0-3;Single bit-flip;1
i2;lreg.cpp;232;1.028127908706665;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.8745958805084229;0-3;Single bit-flip;1
i1;lreg.cpp;115;1.2239668369293213;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.7262675762176514;0-3;Single bit-flip;1
i1;lreg.cpp;141;1.8800320625305176;0-3;Single bit-flip;1
i1;lreg.cpp;155;0.9386687278747559;0-3;Single bit-flip;1
x;lreg.cpp;34;1.3983168601989746;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.342430353164673;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.0481901168823242;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.689960241317749;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.3499834537506104;0-3;Single bit-flip;1
three51;../sysdeps/ieee754/dbl-64/uexp.h;65;2.298445224761963;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.590116024017334;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.7052388191223145;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.6837096214294434;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.749751329421997;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.892361879348755;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.6303653717041016;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.627227544784546;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;3.063542366027832;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.0130503177642822;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.709028959274292;0-3;Single bit-flip;1
iter1;lreg.cpp;177;1.93170166015625;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.0988221168518066;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.763359546661377;0-3;Single bit-flip;1
i2;lreg.cpp;141;3.600858211517334;0-3;Single bit-flip;1
i1;lreg.cpp;191;2.422266721725464;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.6663339138031006;0-3;Single bit-flip;1
i1;lreg.cpp;115;0.9440481662750244;0-3;Single bit-flip;1
x;lreg.cpp;34;3.164128541946411;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.6555709838867188;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.399442672729492;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.6080176830291748;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.8435826301574707;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.180344820022583;0-3;Single bit-flip;1
y;lreg.cpp;35;1.1242802143096924;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.5610833168029785;0-3;Single bit-flip;1
i1;lreg.cpp;115;1.8232429027557373;0-3;Single bit-flip;1
i1;lreg.cpp;141;0.7019617557525635;0-3;Single bit-flip;1
pos1;lreg.cpp;138;3.588761568069458;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.3262112140655518;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.1461336612701416;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.7685973644256592;0-3;Single bit-flip;1
i1;lreg.cpp;141;2.8941750526428223;0-3;Single bit-flip;1
i1;lreg.cpp;115;1.1760544776916504;0-3;Single bit-flip;1
x;lreg.cpp;34;2.5747756958007812;0-3;Single bit-flip;1
i1;lreg.cpp;141;1.2074394226074219;0-3;Single bit-flip;1
i1;lreg.cpp;191;3.352550983428955;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.131232976913452;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.4863197803497314;0-3;Single bit-flip;1
pred2;lreg.cpp;238;2.4469048976898193;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.428142786026001;0-3;Single bit-flip;1
i2;lreg.cpp;232;1.5775980949401855;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.63673734664917;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.580791711807251;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.669382095336914;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.4662411212921143;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.0113844871520996;0-3;Single bit-flip;1
i2;lreg.cpp;127;0.9070117473602295;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.7073769569396973;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.07234263420105;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;3.853247880935669;0-3;Single bit-flip;1
pred2;lreg.cpp;238;2.126919746398926;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.9320590496063232;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.9130339622497559;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.196910858154297;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.9106881618499756;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.9543406963348389;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.2648653984069824;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.2881097793579102;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.666372060775757;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.0655910968780518;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.6862800121307373;0-3;Single bit-flip;1
iter2;lreg.cpp;177;2.5331249237060547;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.598999500274658;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.5441958904266357;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.7328617572784424;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.7267184257507324;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.8547172546386719;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.4306538105010986;0-3;Single bit-flip;1
T2;lreg.cpp;37;0.7323672771453857;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.8624894618988037;0-3;Single bit-flip;1
v;lreg.cpp;112;1.672785997390747;0-3;Single bit-flip;1
i2;lreg.cpp;127;2.0921952724456787;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.632397413253784;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.104022741317749;0-3;Single bit-flip;1
pos2;lreg.cpp;138;3.416402578353882;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.0345864295959473;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.5975689888000488;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.1640303134918213;0-3;Single bit-flip;1
predictions;lreg.cpp;236;1.8313660621643066;0-3;Single bit-flip;1
i1;lreg.cpp;127;2.0502097606658936;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;0.9816639423370361;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.6876325607299805;0-3;Single bit-flip;1
i2;lreg.cpp;115;0.9567797183990479;0-3;Single bit-flip;1
i1;lreg.cpp;191;0.8971266746520996;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.5411438941955566;0-3;Single bit-flip;1
a;lreg.cpp;70;1.6802093982696533;0-3;Single bit-flip;1
