numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
8;637.9498814066205;4.234276385211145;204.50675836581038;0;0;0;0;0;0;0;0;0;1;1;1;1;1
6;98.75850638305283;96.34332722323298;98.0274883655264;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;844.5361108246537;7.164971031516913;245.07819390609546;0;0;0;0;0;0;0;0;0;0;1;1;1;1
2;0.00042854938889772275;0.00030000780020921175;0.0003642785945534672;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3;0.0007244933074965314;0.00011025710853378211;0.0005074160892009367;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8;793.8743941425183;4.3696617357198395;234.86912652881128;0;0;0;0;0;0;0;0;0;1;1;1;1;1
3;0.0010312467773685146;0.00011025710853378211;0.000621999064466276;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8;253898.05950158715;215628.57584820045;240423.97547752064;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;0.008959324666012665;0.0004201040807799014;0.005441496681194472;8;8;8;8;8;8;8;8;8;8;8;8;8;8
8;1008.6659104190298;16.219364087044827;278.15219828878406;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0005273093512963627;0.0005273093512963627;0.0005273093512963627;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;8.976452639578536e+75;5.585785230415991e+75;6.545724765626075e+75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;806.8990409404971;5.088398670038024;237.49357877957124;0;0;0;0;0;0;0;0;0;0;1;1;1;1
8;694.4759547626413;1.1149381806598044;215.11775483709715;0;0;0;0;0;0;1;1;1;1;1;1;1;1
8;0.014093705957167788;0.000181123326868985;0.005603687716467491;8;8;8;8;8;8;8;8;8;8;8;8;8;8
8;1019.9511876525387;16.841539411073736;280.4261312995773;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;774.9922656491698;3.327891373165838;231.06405818897738;0;0;0;0;0;0;0;0;1;1;1;1;1;1
8;0.04124987109413485;0.00024180171293740907;0.009501229248251192;8;8;8;8;8;8;8;8;8;8;8;8;8;8
8;35.21574970198867;0.03110033874547791;21.49164559622068;1;1;1;1;1;1;2;2;2;2;2;2;2;3
8;4.8168760084791345e+86;4.090474717266508e+86;4.5611177809906525e+86;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;302.96999071877894;2.9401160566324798;142.1247907675472;0;0;0;0;0;0;0;1;1;1;1;1;1;1
8;0.055687325977098655;0.0009452341817624199;0.022560286064004672;8;8;8;8;8;8;8;8;8;8;8;8;8;8
8;0.005977069786820645;0.0002100520403899507;0.0029747571469838675;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2;0.00042854938889772275;0.00030000780020921175;0.0003642785945534672;2;2;2;2;2;2;2;2;2;2;2;2;2;2
6;99.28058147027919;97.88103771391052;98.85697243984252;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0.0;7;7;7;7;7;7;7;7;7;7;7;7;7;7
8;30818099521183.984;51600151349.52734;9592967200243.738;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;545.5123577738818;9.336114042248198;187.15459250369327;0;0;0;0;0;0;0;0;0;0;0;1;1;1
8;527.6167886975352;10.324128456806104;183.79539651333954;0;0;0;0;0;0;0;0;0;0;0;0;1;1
8;6.641194871266027e+64;1.066539235095495e+64;2.700928893261784e+64;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0003622466537585614;0.0003437489257960182;0.00035299778977728976;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;0.0006874978515529566;0.000181123326868985;0.00043431058921097085;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3;0.0003622466537585614;0.00011025710853378211;0.0002720842293627872;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8;1119.5386889415972;22.33360543134171;300.4938139445041;0;0;0;0;0;0;0;0;0;0;0;0;0;0
