Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;lreg.cpp;86;1.888315200805664;0-2;Single bit-flip
x;lreg.cpp;32;1.634648084640503;0-2;Single bit-flip
y;lreg.cpp;33;1.6958529949188232;0-2;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;17.43542218208313;0-30;Single bit-flip
crashV2;lreg.cpp;51;11.490575551986694;0-30;Single bit-flip
i;lreg.cpp;105;6.904615879058838;0-30;Single bit-flip
argc;lreg.cpp;266;2.6842122077941895;0-30;Single bit-flip
T;lreg.cpp;37;3.2497482299804688;0-30;Single bit-flip
prevT;lreg.cpp;125;24.185893297195435;0-30;Single bit-flip
i;lreg.cpp;118;4.26904296875;0-30;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;6.0395143032073975;0-30;Single bit-flip
i;lreg.cpp;84;3.4727542400360107;0-30;Single bit-flip
i;lreg.cpp;118;8.831181764602661;0-30;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;18.66161823272705;0-30;Single bit-flip
y;lreg.cpp;36;26.39196252822876;0-30;Single bit-flip
T;lreg.cpp;37;4.361083030700684;0-30;Single bit-flip
x;lreg.cpp;35;19.430911540985107;0-30;Single bit-flip
y;lreg.cpp;36;0.8748519420623779;0-30;Single bit-flip
T;lreg.cpp;37;19.062864542007446;0-30;Single bit-flip
crashT1;lreg.cpp;200;7.5449090003967285;0-30;Random bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;5.4661970138549805;0-30;Random bit-flip
argc;lreg.cpp;266;2.2903099060058594;0-30;Random bit-flip
i;lreg.cpp;92;3.112529754638672;0-30;Random bit-flip
x;lreg.cpp;35;2.0040106773376465;0-30;Random bit-flip
x;lreg.cpp;35;1.2901604175567627;0-30;Random bit-flip
_dl_skip_args;rtld.c;84;1.3808040618896484;0-30;Random bit-flip
T;lreg.cpp;37;7.290748596191406;0-30;Random bit-flip
i;lreg.cpp;118;9.66699504852295;0-30;Random bit-flip
x;w_pow_compat.c;28;7.317621946334839;0-30;Random bit-flip
i;lreg.cpp;118;2.2219889163970947;0-30;Random bit-flip
i;lreg.cpp;92;18.612939596176147;0-30;Random bit-flip
T;lreg.cpp;37;24.111543655395508;0-30;Double bit-flip
T;lreg.cpp;36;3.35528564453125;0-30;Double bit-flip
T;lreg.cpp;37;4.718815565109253;0-30;Double bit-flip
x;lreg.cpp;35;3.792309522628784;0-30;Double bit-flip
iterations;lreg.cpp;137;11.385075569152832;0-30;Double bit-flip
x;lreg.cpp;35;8.266369342803955;0-30;Double bit-flip
new_mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;8.535709619522095;0-30;Double bit-flip
alpha;lreg.cpp;137;9.833727598190308;0-30;Double bit-flip
crashV3;lreg.cpp;51;8.87868857383728;0-30;Double bit-flip
crashT3;lreg.cpp;200;9.342110395431519;0-30;Double bit-flip
x;lreg.cpp;35;15.180097579956055;0-30;Double bit-flip
