Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
testCases;lreg.cpp;164;2.2669081687927246;0-2;Single bit-flip
testCases;lreg.cpp;164;2.096087694168091;0-2;Random bit-flip
iterations;lreg.cpp;105;0.9603977203369141;0-2;Random bit-flip
iterations;lreg.cpp;183;10.48709487915039;0-30;Random bit-flip
input;lreg.cpp;175;4.736803770065308;0-30;Random bit-flip
predictions;lreg.cpp;183;2.4624340534210205;0-30;Random bit-flip
crashV3;lreg.cpp;51;10.771287202835083;0-30;Double bit-flip
i;lreg.cpp;181;2.5683140754699707;0-30;Double bit-flip
N;lreg.cpp;183;4.9187867641448975;0-30;Double bit-flip
testCases;lreg.cpp;178;11.808319807052612;0-30;Double bit-flip
_rtld_global_ro;rtld.c;259;1.9747951030731201;0-30;Double bit-flip
iterations;lreg.cpp;137;10.14006519317627;0-30;Double bit-flip
