Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;lreg.cpp;86;1.888315200805664;0-2;Single bit-flip
x;lreg.cpp;32;1.634648084640503;0-2;Single bit-flip
y;lreg.cpp;33;1.6958529949188232;0-2;Single bit-flip
argv;lreg.cpp;211;9.97454285621643;0-30;Single bit-flip
y;lreg.cpp;51;3.623347282409668;0-30;Single bit-flip
v;lreg.cpp;65;20.37172842025757;0-30;Single bit-flip
error;lreg.cpp;77;2.2790279388427734;0-30;Single bit-flip
pD;lreg.cpp;90;17.273519277572632;0-30;Single bit-flip
input;lreg.cpp;151;2.259371519088745;0-30;Single bit-flip
pD;lreg.cpp;90;5.2792181968688965;0-30;Single bit-flip
sizeOfTraining;lreg.cpp;159;1.34639310836792;0-30;Single bit-flip
pos;lreg.cpp;89;13.931706428527832;0-30;Single bit-flip
input;lreg.cpp;151;4.4459943771362305;0-30;Single bit-flip
i;lreg.cpp;104;21.0677011013031;0-30;Single bit-flip
x;lreg.cpp;50;10.2466402053833;0-30;Single bit-flip
argv;lreg.cpp;211;7.570627689361572;0-30;Single bit-flip
y;lreg.cpp;51;3.562922477722168;0-30;Single bit-flip
sizeOfTraining;lreg.cpp;159;1.1442747116088867;0-30;Single bit-flip
a1;lreg.cpp;220;10.2850661277771;0-30;Single bit-flip
i;lreg.cpp;104;3.3791098594665527;0-30;Single bit-flip
y;w_pow_compat.c;28;17.759695529937744;0-30;Single bit-flip
y;lreg.cpp;51;1.7560365200042725;0-30;Single bit-flip
N;lreg.cpp;159;7.27458643913269;0-30;Single bit-flip
alpha;lreg.cpp;123;13.509456872940063;0-30;Single bit-flip
input;lreg.cpp;151;6.619058132171631;0-30;Single bit-flip
i;lreg.cpp;78;3.3130757808685303;0-30;Single bit-flip
a2;lreg.cpp;221;20.936192274093628;0-30;Single bit-flip
v;lreg.cpp;65;8.118266105651855;0-30;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;7.135858058929443;0-30;Single bit-flip
i;lreg.cpp;91;1.697077751159668;0-30;Single bit-flip
T;lreg.cpp;52;11.504470109939575;0-30;Single bit-flip
__y;/usr/include/c++/7/cmath;415;3.535003900527954;0-30;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;17.43542218208313;0-30;Single bit-flip
crashV2;lreg.cpp;51;11.490575551986694;0-30;Single bit-flip
i;lreg.cpp;105;6.904615879058838;0-30;Single bit-flip
argc;lreg.cpp;266;2.6842122077941895;0-30;Single bit-flip
T;lreg.cpp;37;3.2497482299804688;0-30;Single bit-flip
prevT;lreg.cpp;125;24.185893297195435;0-30;Single bit-flip
i;lreg.cpp;118;4.26904296875;0-30;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;6.0395143032073975;0-30;Single bit-flip
i;lreg.cpp;84;3.4727542400360107;0-30;Single bit-flip
i;lreg.cpp;118;8.831181764602661;0-30;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;18.66161823272705;0-30;Single bit-flip
y;lreg.cpp;36;26.39196252822876;0-30;Single bit-flip
T;lreg.cpp;37;4.361083030700684;0-30;Single bit-flip
x;lreg.cpp;35;19.430911540985107;0-30;Single bit-flip
y;lreg.cpp;36;0.8748519420623779;0-30;Single bit-flip
T;lreg.cpp;37;19.062864542007446;0-30;Single bit-flip
argv;lreg.cpp;211;3.547421932220459;0-30;Random bit-flip
pD;lreg.cpp;90;6.296833038330078;0-30;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;26.853026151657104;0-30;Random bit-flip
T;lreg.cpp;52;20.86199426651001;0-30;Random bit-flip
i;lreg.cpp;78;4.936258554458618;0-30;Random bit-flip
_dl_skip_args;rtld.c;84;0.9882526397705078;0-30;Random bit-flip
y;lreg.cpp;51;9.423829555511475;0-30;Random bit-flip
three33;../sysdeps/ieee754/dbl-64/uexp.h;64;13.343858242034912;0-30;Random bit-flip
N;lreg.cpp;123;7.08731746673584;0-30;Random bit-flip
x;lreg.cpp;50;8.792764902114868;0-30;Random bit-flip
alpha;lreg.cpp;101;17.30916118621826;0-30;Random bit-flip
a2;lreg.cpp;221;3.271639585494995;0-30;Random bit-flip
i;lreg.cpp;91;20.833128929138184;0-30;Random bit-flip
__x;/usr/include/c++/7/bits/stl_vector.h;939;10.420721292495728;0-30;Random bit-flip
bestT;lreg.cpp;133;1.3627910614013672;0-30;Random bit-flip
i;lreg.cpp;104;2.663733720779419;0-30;Random bit-flip
x;lreg.cpp;50;15.98482370376587;0-30;Random bit-flip
i;lreg.cpp;91;9.65920615196228;0-30;Random bit-flip
i;lreg.cpp;91;3.5770933628082275;0-30;Random bit-flip
x;lreg.cpp;50;8.956024646759033;0-30;Random bit-flip
x;lreg.cpp;50;2.3994076251983643;0-30;Random bit-flip
argc;lreg.cpp;211;20.613303899765015;0-30;Random bit-flip
ans;lreg.cpp;152;5.628417253494263;0-30;Random bit-flip
x;lreg.cpp;50;5.743780612945557;0-30;Random bit-flip
x;lreg.cpp;50;5.6400535106658936;0-30;Random bit-flip
crashT1;lreg.cpp;200;7.5449090003967285;0-30;Random bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;5.4661970138549805;0-30;Random bit-flip
argc;lreg.cpp;266;2.2903099060058594;0-30;Random bit-flip
i;lreg.cpp;92;3.112529754638672;0-30;Random bit-flip
x;lreg.cpp;35;2.0040106773376465;0-30;Random bit-flip
x;lreg.cpp;35;1.2901604175567627;0-30;Random bit-flip
_dl_skip_args;rtld.c;84;1.3808040618896484;0-30;Random bit-flip
T;lreg.cpp;37;7.290748596191406;0-30;Random bit-flip
i;lreg.cpp;118;9.66699504852295;0-30;Random bit-flip
x;w_pow_compat.c;28;7.317621946334839;0-30;Random bit-flip
i;lreg.cpp;118;2.2219889163970947;0-30;Random bit-flip
i;lreg.cpp;92;18.612939596176147;0-30;Random bit-flip
N;lreg.cpp;159;12.34496521949768;0-30;Double bit-flip
bigv;../sysdeps/ieee754/dbl-64/upow.h;53;1.7899177074432373;0-30;Double bit-flip
a1;lreg.cpp;220;12.896687984466553;0-30;Double bit-flip
tcache_shutting_down;malloc.c;2920;22.046316146850586;0-30;Double bit-flip
T;lreg.cpp;52;8.673172950744629;0-30;Double bit-flip
T;lreg.cpp;52;6.848366737365723;0-30;Double bit-flip
x;lreg.cpp;50;2.0020124912261963;0-30;Double bit-flip
y;lreg.cpp;51;9.278847694396973;0-30;Double bit-flip
x;lreg.cpp;50;9.960116386413574;0-30;Double bit-flip
T;lreg.cpp;52;5.779646873474121;0-30;Double bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;15.917505502700806;0-30;Double bit-flip
x;lreg.cpp;50;4.666959762573242;0-30;Double bit-flip
T;lreg.cpp;52;24.292917490005493;0-30;Double bit-flip
y;lreg.cpp;51;22.58958339691162;0-30;Double bit-flip
i;lreg.cpp;104;7.2254931926727295;0-30;Double bit-flip
T;lreg.cpp;52;1.3187053203582764;0-30;Double bit-flip
N;lreg.cpp;159;14.227716445922852;0-30;Double bit-flip
x;lreg.cpp;50;2.0457329750061035;0-30;Double bit-flip
_dl_skip_args;rtld.c;84;0.9441587924957275;0-30;Double bit-flip
