Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
testCases;lreg.cpp;164;2.2669081687927246;0-2;Single bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;15.829925775527954;0-30;Single bit-flip
y;lreg.cpp;51;11.322608947753906;0-30;Single bit-flip
i;lreg.cpp;157;5.188522100448608;0-30;Single bit-flip
nINF;../sysdeps/ieee754/dbl-64/upow.h;49;11.68822431564331;0-30;Single bit-flip
rtld_total_time;rtld.c;417;11.217846155166626;0-30;Single bit-flip
testCases;lreg.cpp;164;2.096087694168091;0-2;Random bit-flip
iterations;lreg.cpp;105;0.9603977203369141;0-2;Random bit-flip
error;lreg.cpp;77;8.398593187332153;0-30;Random bit-flip
testCases;lreg.cpp;154;10.038127660751343;0-30;Random bit-flip
input;lreg.cpp;151;7.593443155288696;0-30;Random bit-flip
__x;/usr/include/c++/7/cmath;415;21.842435121536255;0-30;Random bit-flip
iterations;lreg.cpp;123;10.499816179275513;0-30;Random bit-flip
testCases;lreg.cpp;154;4.757988452911377;0-30;Random bit-flip
nZERO;../sysdeps/ieee754/dbl-64/upow.h;47;13.904136657714844;0-30;Random bit-flip
iterations;lreg.cpp;123;9.494659423828125;0-30;Random bit-flip
iterations;lreg.cpp;123;4.239738941192627;0-30;Random bit-flip
iterations;lreg.cpp;183;10.48709487915039;0-30;Random bit-flip
input;lreg.cpp;175;4.736803770065308;0-30;Random bit-flip
predictions;lreg.cpp;183;2.4624340534210205;0-30;Random bit-flip
__y;/usr/include/c++/7/cmath;415;8.168732643127441;0-30;Double bit-flip
PD;lreg.cpp;103;1.259183645248413;0-30;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;3.893373966217041;0-30;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;10.882675409317017;0-30;Double bit-flip
testCases;lreg.cpp;154;9.026105165481567;0-30;Double bit-flip
crashV3;lreg.cpp;51;10.771287202835083;0-30;Double bit-flip
i;lreg.cpp;181;2.5683140754699707;0-30;Double bit-flip
N;lreg.cpp;183;4.9187867641448975;0-30;Double bit-flip
testCases;lreg.cpp;178;11.808319807052612;0-30;Double bit-flip
_rtld_global_ro;rtld.c;259;1.9747951030731201;0-30;Double bit-flip
iterations;lreg.cpp;137;10.14006519317627;0-30;Double bit-flip
