Faults Injected:;488

Fault Effect;#Effect;PVF
Masked;319;0.6536885245901639
SDCs;19;0.0389344262295082
Crashes;119;0.24385245901639344
Hangs;31;0.06352459016393443

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Random bit-flip;12;63.1578947368421
Double bit-flip;5;26.31578947368421
Single bit-flip;2;10.526315789473683

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Single bit-flip;48;40.33613445378151
Random bit-flip;37;31.092436974789916
Double bit-flip;34;28.57142857142857

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;14;45.16129032258064
Double bit-flip;11;35.483870967741936
Single bit-flip;6;19.35483870967742

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
19.230769230769234;26;5;x;lreg.cpp;50
15.789473684210526;19;3;y;lreg.cpp;51
28.57142857142857;7;2;bigu;../sysdeps/ieee754/dbl-64/upow.h;52
100.0;2;2;ln2a;../sysdeps/ieee754/dbl-64/upow.h;50
50.0;2;1;iterations;lreg.cpp;183
33.33333333333333;3;1;x;lreg.cpp;32
16.666666666666664;6;1;i;lreg.cpp;67
100.0;1;1;i;lreg.cpp;167
50.0;2;1;ans;lreg.cpp;152
20.0;5;1;two52e;../sysdeps/ieee754/dbl-64/upow.h;55
7.142857142857142;14;1;x;lreg.cpp;35

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
46.15384615384615;26;12;x;lreg.cpp;50
38.095238095238095;21;8;T;lreg.cpp;52
31.57894736842105;19;6;y;lreg.cpp;51
60.0;10;6;T;lreg.cpp;37
42.857142857142854;14;6;x;lreg.cpp;35
100.0;4;4;i;lreg.cpp;104
66.66666666666666;6;4;i;lreg.cpp;91
100.0;4;4;i;lreg.cpp;118
60.0;5;3;argv;lreg.cpp;211
37.5;8;3;pD;lreg.cpp;90
42.857142857142854;7;3;input;lreg.cpp;151
50.0;6;3;N;lreg.cpp;159
42.857142857142854;7;3;bigu;../sysdeps/ieee754/dbl-64/upow.h;52
100.0;3;3;_dl_skip_args;rtld.c;84
50.0;4;2;v;lreg.cpp;65
40.0;5;2;sizeOfTraining;lreg.cpp;159
40.0;5;2;a1;lreg.cpp;220
100.0;2;2;i;lreg.cpp;78
66.66666666666666;3;2;a2;lreg.cpp;221
100.0;2;2;set;../sysdeps/unix/sysv/linux/raise.c;39
40.0;5;2;argc;lreg.cpp;266
14.285714285714285;14;2;y;lreg.cpp;36
100.0;2;2;i;lreg.cpp;92
100.0;1;1;i;lreg.cpp;86
33.33333333333333;3;1;x;lreg.cpp;32
100.0;1;1;y;lreg.cpp;33
33.33333333333333;3;1;error;lreg.cpp;77
16.666666666666664;6;1;pos;lreg.cpp;89
5.88235294117647;17;1;y;w_pow_compat.c;28
33.33333333333333;3;1;alpha;lreg.cpp;123
10.0;10;1;__y;/usr/include/c++/7/cmath;415
100.0;1;1;crashV2;lreg.cpp;51
100.0;1;1;i;lreg.cpp;105
100.0;1;1;prevT;lreg.cpp;125
100.0;1;1;i;lreg.cpp;84
20.0;5;1;two52e;../sysdeps/ieee754/dbl-64/upow.h;55
100.0;1;1;three33;../sysdeps/ieee754/dbl-64/uexp.h;64
20.0;5;1;N;lreg.cpp;123
33.33333333333333;3;1;alpha;lreg.cpp;101
100.0;1;1;__x;/usr/include/c++/7/bits/stl_vector.h;939
50.0;2;1;bestT;lreg.cpp;133
25.0;4;1;argc;lreg.cpp;211
50.0;2;1;ans;lreg.cpp;152
50.0;2;1;crashT1;lreg.cpp;200
3.8461538461538463;26;1;x;w_pow_compat.c;28
20.0;5;1;bigv;../sysdeps/ieee754/dbl-64/upow.h;53
100.0;1;1;tcache_shutting_down;malloc.c;2920
100.0;1;1;ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57
20.0;5;1;temp;lreg.cpp;158
33.33333333333333;3;1;i;lreg.cpp;136
50.0;2;1;T;lreg.cpp;36
33.33333333333333;3;1;iterations;lreg.cpp;137
100.0;1;1;new_mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
50.0;2;1;alpha;lreg.cpp;137
50.0;2;1;crashV3;lreg.cpp;51
33.33333333333333;3;1;crashT3;lreg.cpp;200

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
60.0;5;3;two52e;../sysdeps/ieee754/dbl-64/upow.h;55
100.0;3;3;testCases;lreg.cpp;154
75.0;4;3;iterations;lreg.cpp;123
100.0;2;2;testCases;lreg.cpp;164
5.263157894736842;19;1;y;lreg.cpp;51
25.0;4;1;i;lreg.cpp;157
50.0;2;1;nINF;../sysdeps/ieee754/dbl-64/upow.h;49
100.0;1;1;rtld_total_time;rtld.c;417
100.0;1;1;iterations;lreg.cpp;105
33.33333333333333;3;1;error;lreg.cpp;77
14.285714285714285;7;1;input;lreg.cpp;151
8.333333333333332;12;1;__x;/usr/include/c++/7/cmath;415
33.33333333333333;3;1;nZERO;../sysdeps/ieee754/dbl-64/upow.h;47
50.0;2;1;iterations;lreg.cpp;183
50.0;2;1;input;lreg.cpp;175
100.0;1;1;predictions;lreg.cpp;183
10.0;10;1;__y;/usr/include/c++/7/cmath;415
20.0;5;1;PD;lreg.cpp;103
50.0;2;1;crashV3;lreg.cpp;51
50.0;2;1;i;lreg.cpp;181
50.0;2;1;N;lreg.cpp;183
100.0;1;1;testCases;lreg.cpp;178
50.0;2;1;_rtld_global_ro;rtld.c;259
33.33333333333333;3;1;iterations;lreg.cpp;137
