Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;1.493544101715088;0-10;Single bit-flip
x;lreg.cpp;32;2.649707078933716;0-10;Single bit-flip
ans;lreg.cpp;135;4.666872501373291;0-10;Single bit-flip
N;lreg.cpp;144;5.672971487045288;0-10;Single bit-flip
prevT;lreg.cpp;114;1.454819679260254;0-10;Single bit-flip
y;lreg.cpp;33;1.1561777591705322;0-10;Single bit-flip
argv;lreg.cpp;179;3.402841329574585;0-10;Single bit-flip
argv;lreg.cpp;179;4.334680080413818;0-10;Single bit-flip
x;w_pow_compat.c;28;4.301416873931885;0-10;Single bit-flip
T;lreg.cpp;34;1.9388270378112793;0-10;Single bit-flip
e1;lreg.cpp;191;3.1113007068634033;0-10;Single bit-flip
y;w_pow_compat.c;28;3.587684154510498;0-10;Single bit-flip
i;lreg.cpp;73;3.510952949523926;0-10;Single bit-flip
T;lreg.cpp;34;2.029566764831543;0-10;Single bit-flip
y;lreg.cpp;33;5.191878080368042;0-10;Single bit-flip
i;lreg.cpp;73;4.054403305053711;0-10;Single bit-flip
N;lreg.cpp;144;1.739116907119751;0-10;Single bit-flip
ans;lreg.cpp;135;8.880908012390137;0-10;Single bit-flip
val;lreg.cpp;48;1.0832200050354004;0-10;Single bit-flip
x;lreg.cpp;32;3.2037856578826904;0-10;Single bit-flip
T;lreg.cpp;34;3.585890531539917;0-10;Single bit-flip
T;lreg.cpp;34;3.654796600341797;0-10;Single bit-flip
e2;lreg.cpp;194;5.825096130371094;0-10;Single bit-flip
y;lreg.cpp;33;1.3184928894042969;0-10;Single bit-flip
T;lreg.cpp;34;1.4023094177246094;0-10;Single bit-flip
x;lreg.cpp;32;2.4439163208007812;0-10;Single bit-flip
x;lreg.cpp;32;1.8939430713653564;0-10;Single bit-flip
main_arena;malloc.c;1761;6.262567758560181;0-10;Single bit-flip
x;lreg.cpp;32;1.9004340171813965;0-10;Single bit-flip
argv;lreg.cpp;179;1.3574943542480469;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;0.587348461151123;0-10;Single bit-flip
i;lreg.cpp;73;1.7705821990966797;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;2.4654030799865723;0-10;Single bit-flip
T;lreg.cpp;34;1.5685317516326904;0-10;Single bit-flip
T;lreg.cpp;34;4.337833404541016;0-10;Single bit-flip
x;lreg.cpp;32;1.3820679187774658;0-10;Single bit-flip
__GI__dl_argv;rtld.c;83;1.173579216003418;0-10;Single bit-flip
ans;lreg.cpp;135;1.5340712070465088;0-10;Single bit-flip
y;lreg.cpp;33;2.9900267124176025;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9299852848052979;0-10;Single bit-flip
T;lreg.cpp;34;2.225564479827881;0-10;Single bit-flip
ln2b;../sysdeps/ieee754/dbl-64/upow.h;51;5.037847518920898;0-10;Single bit-flip
x;lreg.cpp;32;3.34039306640625;0-10;Single bit-flip
prevT;lreg.cpp;114;4.1205480098724365;0-10;Single bit-flip
i;lreg.cpp;118;1.9968149662017822;0-10;Single bit-flip
x;lreg.cpp;32;4.319567441940308;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;0.9701313972473145;0-10;Single bit-flip
T;lreg.cpp;34;2.103977918624878;0-10;Single bit-flip
y;lreg.cpp;33;1.7791380882263184;0-10;Single bit-flip
e2;lreg.cpp;194;2.1050384044647217;0-10;Single bit-flip
i;lreg.cpp;86;2.799224376678467;0-10;Single bit-flip
x;lreg.cpp;32;4.4224162101745605;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4906032085418701;0-10;Single bit-flip
T;lreg.cpp;34;1.2753486633300781;0-10;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;1257;6.7052178382873535;0-10;Single bit-flip
bestT;lreg.cpp;115;2.6715190410614014;0-10;Single bit-flip
argv;lreg.cpp;179;2.598912239074707;0-10;Single bit-flip
y;lreg.cpp;33;3.192049503326416;0-10;Single bit-flip
action;../sysdeps/posix/libc_fatal.c;67;6.8519651889801025;0-10;Single bit-flip
i;lreg.cpp;73;3.7989182472229004;0-10;Single bit-flip
argv;lreg.cpp;179;2.802736759185791;0-10;Single bit-flip
i;lreg.cpp;49;1.9452543258666992;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0373497009277344;0-10;Single bit-flip
this;lreg.cpp;0;9.490325927734375;0-10;Single bit-flip
y;lreg.cpp;33;2.3715081214904785;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0647449493408203;0-10;Single bit-flip
x;lreg.cpp;32;3.2170541286468506;0-10;Single bit-flip
__xlen;/usr/include/c++/7/bits/vector.tcc;203;9.645286560058594;0-10;Single bit-flip
narenas;arena.c;82;5.216898441314697;0-10;Single bit-flip
y;lreg.cpp;33;8.661675453186035;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.8317370414733887;0-10;Single bit-flip
pos;lreg.cpp;71;8.172284364700317;0-10;Single bit-flip
i;lreg.cpp;86;4.56934380531311;0-10;Single bit-flip
prevT;lreg.cpp;114;3.554051399230957;0-10;Single bit-flip
i;lreg.cpp;73;10.24938702583313;0-10;Single bit-flip
argc;lreg.cpp;179;2.4753429889678955;0-10;Single bit-flip
val;lreg.cpp;48;3.0628092288970947;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.8416681289672852;0-10;Single bit-flip
T;lreg.cpp;34;2.745626211166382;0-10;Single bit-flip
x;lreg.cpp;32;4.489104986190796;0-10;Single bit-flip
__GI__dl_argv;rtld.c;83;1.3690316677093506;0-10;Single bit-flip
y;lreg.cpp;33;2.177157163619995;0-10;Single bit-flip
x;w_pow_compat.c;28;2.151843309402466;0-10;Single bit-flip
argv;lreg.cpp;179;4.112128257751465;0-10;Single bit-flip
pos;lreg.cpp;71;1.9694750308990479;0-10;Single bit-flip
N;lreg.cpp;144;4.010202169418335;0-10;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;5.204372406005859;0-10;Single bit-flip
predictions;lreg.cpp;144;1.9914202690124512;0-10;Single bit-flip
ans;lreg.cpp;135;4.368760347366333;0-10;Single bit-flip
x;lreg.cpp;32;6.919178247451782;0-10;Single bit-flip
input;lreg.cpp;134;2.0240163803100586;0-10;Single bit-flip
T;lreg.cpp;34;8.84738039970398;0-10;Single bit-flip
y;lreg.cpp;33;2.2202250957489014;0-10;Single bit-flip
y;lreg.cpp;33;4.852215528488159;0-10;Single bit-flip
this;lreg.cpp;0;4.416463375091553;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.6139092445373535;0-10;Single bit-flip
alpha;lreg.cpp;83;2.2928097248077393;0-10;Single bit-flip
prevT;lreg.cpp;114;2.2767131328582764;0-10;Single bit-flip
nZERO;../sysdeps/ieee754/dbl-64/upow.h;47;1.9350638389587402;0-10;Single bit-flip
__GI__dl_argv;rtld.c;83;5.904362201690674;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;1.8325867652893066;0-10;Single bit-flip
T;lreg.cpp;34;1.786010980606079;0-10;Single bit-flip
pos;lreg.cpp;71;3.844663619995117;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;1.607280969619751;0-10;Single bit-flip
v;lreg.cpp;47;2.5566956996917725;0-10;Single bit-flip
alpha;lreg.cpp;143;8.921705961227417;0-10;Single bit-flip
_dl_skip_args;rtld.c;84;1.9720609188079834;0-10;Single bit-flip
e2;lreg.cpp;194;7.098520755767822;0-10;Single bit-flip
e1;lreg.cpp;191;8.148504734039307;0-10;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.686744213104248;0-10;Single bit-flip
input;lreg.cpp;134;6.289311170578003;0-20;Single bit-flip
PD;lreg.cpp;85;4.9258716106414795;0-20;Single bit-flip
i;lreg.cpp;86;8.479992866516113;0-20;Single bit-flip
ans;lreg.cpp;135;2.9129812717437744;0-25;Single bit-flip
stopsWhenStable;lreg.cpp;105;9.042999505996704;0-20;Single bit-flip
sigs;abort.c;51;3.059757709503174;0-10;Single bit-flip
x;lreg.cpp;32;7.829465389251709;0-20;Single bit-flip
ans;lreg.cpp;135;2.832693338394165;0-20;Single bit-flip
N;lreg.cpp;105;3.9547083377838135;0-20;Single bit-flip
T;lreg.cpp;34;5.2433977127075195;0-20;Single bit-flip
i;lreg.cpp;60;6.561161279678345;0-25;Single bit-flip
y;lreg.cpp;33;6.030552387237549;0-20;Single bit-flip
i;lreg.cpp;86;2.255215644836426;0-10;Single bit-flip
pos;lreg.cpp;71;1.6654987335205078;0-10;Single bit-flip
y;lreg.cpp;33;11.731518030166626;0-20;Single bit-flip
t52;../sysdeps/ieee754/dbl-64/upow.h;54;6.113522529602051;0-20;Single bit-flip
bigu;../sysdeps/ieee754/dbl-64/upow.h;52;2.822620153427124;0-20;Single bit-flip
__x;/usr/include/c++/7/cmath;415;4.105732679367065;0-20;Single bit-flip
x;lreg.cpp;32;12.565049409866333;0-20;Single bit-flip
i;lreg.cpp;60;11.012351989746094;0-20;Single bit-flip
__x;/usr/include/c++/7/cmath;415;14.20531153678894;0-20;Single bit-flip
x;lreg.cpp;32;4.415776491165161;0-20;Single bit-flip
bestMSE;lreg.cpp;116;4.341883659362793;0-20;Single bit-flip
argc;lreg.cpp;179;6.155040979385376;0-20;Single bit-flip
i;lreg.cpp;73;3.6255931854248047;0-10;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;2.042527198791504;0-10;Single bit-flip
e1;lreg.cpp;191;9.75451111793518;0-20;Single bit-flip
