Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;6.089585781097412;0-20;Single bit-flip
testCases;lreg.cpp;139;1.0542404651641846;0-20;Single bit-flip
i;lreg.cpp;142;1.7033555507659912;0-20;Single bit-flip
testCases;lreg.cpp;139;3.5853774547576904;0-20;Single bit-flip
predictions;lreg.cpp;144;3.315884828567505;0-25;Single bit-flip
iterations;lreg.cpp;105;10.161986112594604;0-20;Single bit-flip
predictions;lreg.cpp;144;10.95677399635315;0-20;Single bit-flip
i;lreg.cpp;118;3.874760866165161;0-20;Single bit-flip
temp;lreg.cpp;143;6.392066240310669;0-10;Single bit-flip
x;w_pow_compat.c;28;9.38576078414917;0-20;Random bit-flip
iterations;lreg.cpp;105;8.436996459960938;0-20;Random bit-flip
i;lreg.cpp;118;2.0768887996673584;0-20;Random bit-flip
predictions;lreg.cpp;144;6.929460525512695;0-20;Random bit-flip
i;lreg.cpp;118;3.1142921447753906;0-20;Random bit-flip
iterations;lreg.cpp;105;5.904772043228149;0-20;Random bit-flip
e1;lreg.cpp;191;3.1868479251861572;0-10;Random bit-flip
iterations;lreg.cpp;105;1.740741491317749;0-20;Random bit-flip
testCases;lreg.cpp;139;5.459528684616089;0-20;Random bit-flip
testCases;lreg.cpp;139;10.328047513961792;0-20;Double bit-flip
iterations;lreg.cpp;105;11.015068054199219;0-20;Double bit-flip
ui;../sysdeps/ieee754/dbl-64/upow.tbl;5108;15.173403024673462;0-20;Double bit-flip
input;lreg.cpp;134;5.0183470249176025;0-20;Double bit-flip
T;lreg.cpp;34;5.479473114013672;0-20;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;5.081099987030029;0-20;Double bit-flip
ln2b;../sysdeps/ieee754/dbl-64/upow.h;51;4.399357795715332;0-10;Double bit-flip
iterations;lreg.cpp;105;6.704385757446289;0-20;Double bit-flip
testCases;lreg.cpp;139;5.119227170944214;0-20;Double bit-flip
