Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
alpha;lreg.cpp;105;4.5617735385894775;0-10;Single bit-flip;1
i;lreg.cpp;118;3.638970136642456;0-10;Single bit-flip;1
__x;/usr/include/c++/7/cmath;415;2.5571768283843994;0-10;Single bit-flip;1
val;lreg.cpp;48;2.774629592895508;0-10;Single bit-flip;1
y;lreg.cpp;33;7.291249513626099;0-10;Single bit-flip;1
val;lreg.cpp;48;4.82316517829895;0-10;Single bit-flip;1
pos;lreg.cpp;71;3.4149911403656006;0-10;Single bit-flip;1
v;lreg.cpp;47;4.808383464813232;0-10;Single bit-flip;1
T;lreg.cpp;34;4.383063077926636;0-10;Single bit-flip;1
i;lreg.cpp;86;1.4529283046722412;0-10;Single bit-flip;1
input;lreg.cpp;134;3.3546390533447266;0-10;Single bit-flip;1
pos;lreg.cpp;71;3.8057003021240234;0-10;Single bit-flip;1
y;lreg.cpp;33;4.995043754577637;0-10;Single bit-flip;1
x;lreg.cpp;32;3.3797757625579834;0-10;Single bit-flip;1
input;lreg.cpp;134;6.750584363937378;0-10;Single bit-flip;1
i;lreg.cpp;49;2.638241767883301;0-10;Single bit-flip;1
pos;lreg.cpp;71;7.325314283370972;0-10;Single bit-flip;1
i;lreg.cpp;73;2.050584077835083;0-10;Single bit-flip;1
T;lreg.cpp;34;3.119748830795288;0-10;Single bit-flip;1
i;lreg.cpp;73;1.210569143295288;0-10;Single bit-flip;1
v;lreg.cpp;47;3.090014934539795;0-10;Single bit-flip;1
v;lreg.cpp;47;3.8141930103302;0-10;Single bit-flip;1
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;2.662060499191284;0-10;Single bit-flip;1
e1;lreg.cpp;191;2.677786111831665;0-10;Single bit-flip;1
alpha;lreg.cpp;105;3.1616051197052;0-10;Single bit-flip;1
i;lreg.cpp;86;2.1461288928985596;0-10;Single bit-flip;1
T;lreg.cpp;34;4.625196695327759;0-10;Single bit-flip;1
pos;lreg.cpp;71;1.6832301616668701;0-10;Single bit-flip;1
alpha;lreg.cpp;83;4.16422963142395;0-10;Single bit-flip;1
i;lreg.cpp;118;6.133488655090332;0-10;Single bit-flip;1
alpha;lreg.cpp;83;2.3919835090637207;0-10;Single bit-flip;1
i;lreg.cpp;73;2.4236221313476562;0-10;Single bit-flip;1
predictions;lreg.cpp;144;2.358297824859619;0-10;Single bit-flip;1
alpha;lreg.cpp;105;1.7243139743804932;0-10;Single bit-flip;1
i;lreg.cpp;142;4.856251955032349;0-10;Single bit-flip;1
val;lreg.cpp;48;4.673003196716309;0-10;Single bit-flip;1
y;lreg.cpp;33;3.4061551094055176;0-10;Single bit-flip;1
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;4.828821659088135;0-10;Single bit-flip;1
iterations;lreg.cpp;105;0.9074418544769287;0-10;Single bit-flip;1
x;lreg.cpp;32;6.462585687637329;0-10;Single bit-flip;1
i;lreg.cpp;73;4.997388601303101;0-10;Single bit-flip;1
i;lreg.cpp;73;6.69334864616394;0-10;Single bit-flip;1
i;lreg.cpp;73;2.2386581897735596;0-10;Single bit-flip;1
i;lreg.cpp;73;3.1616921424865723;0-10;Single bit-flip;1
pos;lreg.cpp;71;3.5232760906219482;0-10;Single bit-flip;1
pos;lreg.cpp;71;3.818124532699585;0-10;Single bit-flip;1
predictions;lreg.cpp;144;1.107433557510376;0-10;Single bit-flip;1
T;lreg.cpp;34;1.5169076919555664;0-10;Single bit-flip;1
alpha;lreg.cpp;83;4.128149032592773;0-10;Single bit-flip;1
iterations;lreg.cpp;105;2.4755234718322754;0-10;Single bit-flip;1
ln2b;../sysdeps/ieee754/dbl-64/upow.h;51;4.6294519901275635;0-10;Single bit-flip;1
pD;lreg.cpp;72;3.7649917602539062;0-10;Single bit-flip;1
alpha;lreg.cpp;83;2.401660680770874;0-10;Single bit-flip;1
input;lreg.cpp;134;6.206566572189331;0-10;Single bit-flip;1
T;lreg.cpp;34;2.9529078006744385;0-10;Single bit-flip;1
input;lreg.cpp;134;2.0742197036743164;0-10;Single bit-flip;1
predictions;lreg.cpp;144;5.531467914581299;0-10;Single bit-flip;1
three51;../sysdeps/ieee754/dbl-64/uexp.h;65;2.4150021076202393;0-10;Single bit-flip;1
iterations;lreg.cpp;105;7.513010501861572;0-10;Single bit-flip;1
pD;lreg.cpp;72;4.413628101348877;0-10;Single bit-flip;1
pos;lreg.cpp;71;4.583651304244995;0-10;Single bit-flip;1
pD;lreg.cpp;72;2.6143784523010254;0-10;Single bit-flip;1
val;lreg.cpp;48;6.715367078781128;0-10;Single bit-flip;1
x;lreg.cpp;32;3.9348208904266357;0-10;Single bit-flip;1
pD;lreg.cpp;72;5.318400144577026;0-10;Single bit-flip;1
val;lreg.cpp;48;4.1576807498931885;0-10;Single bit-flip;1
i;lreg.cpp;118;1.9532268047332764;0-10;Single bit-flip;1
ans;lreg.cpp;135;1.4761011600494385;0-10;Single bit-flip;1
pD;lreg.cpp;72;2.046086549758911;0-10;Single bit-flip;1
y;lreg.cpp;33;4.471412420272827;0-10;Single bit-flip;1
i;lreg.cpp;86;6.264866590499878;0-10;Single bit-flip;1
T;lreg.cpp;34;3.087514877319336;0-10;Single bit-flip;1
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;2.7846579551696777;0-10;Single bit-flip;1
val;lreg.cpp;48;3.5395073890686035;0-10;Single bit-flip;1
T;lreg.cpp;34;4.546554327011108;0-10;Single bit-flip;1
T;lreg.cpp;34;4.4781334400177;0-10;Single bit-flip;1
iterations;lreg.cpp;105;2.946728229522705;0-10;Single bit-flip;1
input;lreg.cpp;134;2.2546236515045166;0-10;Single bit-flip;1
i;lreg.cpp;73;2.085299491882324;0-10;Single bit-flip;1
pD;lreg.cpp;72;5.676328182220459;0-10;Single bit-flip;1
x;lreg.cpp;32;2.149580955505371;0-10;Single bit-flip;1
x;lreg.cpp;32;1.2079248428344727;0-10;Single bit-flip;1
pos;lreg.cpp;71;2.6785295009613037;0-10;Single bit-flip;1
i;lreg.cpp;86;1.857266902923584;0-10;Single bit-flip;1
T;lreg.cpp;34;6.776632785797119;0-10;Single bit-flip;1
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;4.895057916641235;0-10;Single bit-flip;1
error;lreg.cpp;59;1.856623888015747;0-10;Single bit-flip;1
x;lreg.cpp;32;1.5035829544067383;0-10;Single bit-flip;1
x;lreg.cpp;32;1.1545286178588867;0-10;Single bit-flip;1
alpha;lreg.cpp;83;1.3663196563720703;0-10;Single bit-flip;1
input;lreg.cpp;134;2.3281095027923584;0-10;Single bit-flip;1
pos;lreg.cpp;71;1.181490421295166;0-10;Single bit-flip;1
T;lreg.cpp;34;4.007889747619629;0-10;Single bit-flip;1
alpha;lreg.cpp;83;7.009896755218506;0-10;Single bit-flip;1
alpha;lreg.cpp;105;3.1352672576904297;0-10;Single bit-flip;1
i;lreg.cpp;118;2.8616485595703125;0-10;Single bit-flip;1
x;lreg.cpp;32;3.491401433944702;0-10;Single bit-flip;1
T;lreg.cpp;34;2.4775309562683105;0-10;Single bit-flip;1
pD;lreg.cpp;72;4.1141557693481445;0-10;Single bit-flip;1
pos;lreg.cpp;71;2.8554461002349854;0-10;Single bit-flip;1
pD;lreg.cpp;72;4.076550483703613;0-10;Single bit-flip;1
x;lreg.cpp;32;3.3406360149383545;0-10;Single bit-flip;1
x;lreg.cpp;32;1.176666259765625;0-10;Single bit-flip;1
val;lreg.cpp;48;3.8514859676361084;0-10;Single bit-flip;1
i;lreg.cpp;73;8.920138835906982;0-10;Single bit-flip;1
predictions;lreg.cpp;144;2.836803436279297;0-10;Single bit-flip;1
T;lreg.cpp;34;3.437653064727783;0-10;Single bit-flip;1
alpha;lreg.cpp;83;4.8262717723846436;0-10;Single bit-flip;1
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;2.7202534675598145;0-10;Single bit-flip;1
val;lreg.cpp;48;1.0472865104675293;0-10;Single bit-flip;1
y;lreg.cpp;33;2.091792583465576;0-10;Single bit-flip;1
alpha;lreg.cpp;105;6.387763738632202;0-10;Single bit-flip;1
input;lreg.cpp;134;4.706691265106201;0-20;Single bit-flip;1
x;lreg.cpp;32;5.088406801223755;0-20;Single bit-flip;1
alpha;lreg.cpp;83;7.3340747356414795;0-20;Single bit-flip;1
alpha;lreg.cpp;105;6.0094897747039795;0-20;Single bit-flip;1
i;lreg.cpp;73;9.522103071212769;0-20;Single bit-flip;1
