"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",88.8888888888889,"Lreg"
"3","0.2",88.8888888888889,"Lreg"
"4","0.3",88.8888888888889,"Lreg"
"5","0.4",88.8888888888889,"Lreg"
"6","0.5",77.7777777777778,"Lreg"
"7","1",55.5555555555556,"Lreg"
"8","2",22.2222222222222,"Lreg"
"9","3",22.2222222222222,"Lreg"
"10","4",22.2222222222222,"Lreg"
"11","5",22.2222222222222,"Lreg"
"12","8",22.2222222222222,"Lreg"
"13","10",22.2222222222222,"Lreg"
"14","12",22.2222222222222,"Lreg"
"15","15",22.2222222222222,"Lreg"
