Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
T;lreg.cpp;34;1.3167622089385986;0-2;Single bit-flip
y;lreg.cpp;33;2.539651393890381;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.9198110103607178;0-2;Single bit-flip
i;lreg.cpp;60;1.5952777862548828;0-2;Single bit-flip
y;lreg.cpp;33;2.0591659545898438;0-2;Single bit-flip
i;lreg.cpp;73;1.9036593437194824;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1793746948242188;0-2;Single bit-flip
y;lreg.cpp;33;1.7906477451324463;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;0.843315601348877;0-2;Single bit-flip
T;lreg.cpp;34;1.2725558280944824;0-2;Single bit-flip
i;lreg.cpp;60;1.3894414901733398;0-2;Single bit-flip
y;w_pow_compat.c;28;3.0437510013580322;0-2;Single bit-flip
pos;lreg.cpp;71;2.5039432048797607;0-2;Single bit-flip
T;lreg.cpp;34;1.6283071041107178;0-2;Single bit-flip
x;lreg.cpp;32;2.4208760261535645;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5217995643615723;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;1.0584571361541748;0-2;Single bit-flip
x;lreg.cpp;32;0.7583210468292236;0-2;Single bit-flip
y;lreg.cpp;33;1.0761997699737549;0-2;Single bit-flip
__x;/usr/include/c++/7/cmath;415;1.512605905532837;0-2;Single bit-flip
ui;../sysdeps/ieee754/dbl-64/upow.tbl;5108;5.176917552947998;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7526986598968506;0-2;Single bit-flip
T;lreg.cpp;34;2.6126177310943604;0-2;Single bit-flip
i;lreg.cpp;49;2.233318567276001;0-2;Single bit-flip
y;lreg.cpp;33;1.5942459106445312;0-2;Single bit-flip
alpha;lreg.cpp;168;1.4856340885162354;0-2;Single bit-flip
y;lreg.cpp;33;2.210312604904175;0-2;Single bit-flip
i;lreg.cpp;118;1.367555856704712;0-2;Single bit-flip
y;lreg.cpp;33;1.9144749641418457;0-2;Single bit-flip
prevT;lreg.cpp;114;2.0119431018829346;0-2;Single bit-flip
__y;/usr/include/c++/7/cmath;415;2.2171194553375244;0-2;Single bit-flip
T;lreg.cpp;34;1.0605237483978271;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;1.1398630142211914;0-2;Single bit-flip
T;lreg.cpp;34;1.6726784706115723;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.589705228805542;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.4314405918121338;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8273320198059082;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.0638904571533203;0-2;Single bit-flip
stopsWhenStable;lreg.cpp;105;1.7715909481048584;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.340552806854248;0-2;Single bit-flip
PD;lreg.cpp;85;2.1416032314300537;0-2;Single bit-flip
error;lreg.cpp;59;2.5119736194610596;0-2;Single bit-flip
x;lreg.cpp;32;0.9774844646453857;0-2;Single bit-flip
T;lreg.cpp;34;1.3902783393859863;0-2;Single bit-flip
