Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
testCases;lreg.cpp;164;1.9653003215789795;0-2;Single bit-flip
N;lreg.cpp;105;2.657789945602417;0-2;Single bit-flip
__pointer_chk_guard_local;rtld.c;96;1.8891410827636719;0-2;Single bit-flip
predictions;lreg.cpp;169;2.215080976486206;0-2;Single bit-flip
predictions;lreg.cpp;169;1.3495762348175049;0-2;Single bit-flip
testCases;lreg.cpp;164;0.9115931987762451;0-2;Single bit-flip
iterations;lreg.cpp;105;1.1930549144744873;0-2;Single bit-flip
testCases;lreg.cpp;164;1.1503734588623047;0-2;Single bit-flip
testCases;lreg.cpp;164;0.7297263145446777;0-2;Single bit-flip
testCases;lreg.cpp;164;1.006246566772461;0-2;Single bit-flip
testCases;lreg.cpp;164;1.649038553237915;0-2;Single bit-flip
testCases;lreg.cpp;164;2.1950392723083496;0-2;Single bit-flip
testCases;lreg.cpp;164;0.8712553977966309;0-2;Single bit-flip
x;lreg.cpp;32;1.230940580368042;0-2;Single bit-flip
x;lreg.cpp;32;1.0954546928405762;0-2;Single bit-flip
predictions;lreg.cpp;169;0.63686203956604;0-2;Single bit-flip
testCases;lreg.cpp;164;1.1763544082641602;0-2;Single bit-flip
x;lreg.cpp;32;1.5793180465698242;0-2;Single bit-flip
val;lreg.cpp;48;2.2469141483306885;0-2;Single bit-flip
testCases;lreg.cpp;164;1.5214149951934814;0-2;Single bit-flip
testCases;lreg.cpp;164;1.4607717990875244;0-2;Single bit-flip
testCases;lreg.cpp;164;1.1354234218597412;0-2;Single bit-flip
iterations;lreg.cpp;105;1.3801448345184326;0-2;Single bit-flip
testCases;lreg.cpp;164;0.9798693656921387;0-2;Single bit-flip
predictions;lreg.cpp;169;1.351590633392334;0-2;Single bit-flip
_rtld_global;rtld.c;231;0.5297861099243164;0-2;Single bit-flip
testCases;lreg.cpp;164;1.1840405464172363;0-2;Single bit-flip
x;lreg.cpp;32;0.8579316139221191;0-2;Single bit-flip
x;lreg.cpp;32;1.7747206687927246;0-2;Single bit-flip
testCases;lreg.cpp;164;1.6927576065063477;0-2;Single bit-flip
testCases;lreg.cpp;164;1.01171875;0-2;Single bit-flip
testCases;lreg.cpp;164;1.6986181735992432;0-2;Single bit-flip
predictions;lreg.cpp;169;1.7796111106872559;0-2;Single bit-flip
testCases;lreg.cpp;164;1.7247576713562012;0-2;Single bit-flip
pD;lreg.cpp;72;1.6584053039550781;0-2;Single bit-flip
i;lreg.cpp;167;1.7586112022399902;0-2;Single bit-flip
start_time;rtld.c;308;2.5055055618286133;0-2;Single bit-flip
load_time;rtld.c;307;1.6509778499603271;0-2;Single bit-flip
PD;lreg.cpp;85;1.9445271492004395;0-2;Single bit-flip
x;lreg.cpp;32;1.8251104354858398;0-2;Single bit-flip
T;lreg.cpp;34;1.5100688934326172;0-2;Single bit-flip
testCases;lreg.cpp;164;1.6093008518218994;0-2;Single bit-flip
iterations;lreg.cpp;105;1.3270502090454102;0-2;Single bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;2.322643280029297;0-2;Single bit-flip
i;lreg.cpp;167;1.6765506267547607;0-2;Single bit-flip
iterations;lreg.cpp;105;0.9517533779144287;0-2;Single bit-flip
x;lreg.cpp;32;1.120497465133667;0-2;Single bit-flip
i;lreg.cpp;118;1.4236934185028076;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;2.5133249759674072;0-2;Random bit-flip
any_debug;rtld.c;2322;2.611039638519287;0-2;Random bit-flip
audit_list_string;rtld.c;134;0.7388565540313721;0-2;Random bit-flip
T;lreg.cpp;34;1.4461312294006348;0-2;Random bit-flip
i;lreg.cpp;167;0.8783531188964844;0-2;Random bit-flip
i;lreg.cpp;118;0.9757893085479736;0-2;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;2.042494297027588;0-2;Random bit-flip
alpha;lreg.cpp;168;1.9436454772949219;0-2;Random bit-flip
testCases;lreg.cpp;164;1.8842151165008545;0-2;Random bit-flip
iterations;lreg.cpp;105;1.8075451850891113;0-2;Random bit-flip
rtld_total_time;rtld.c;417;2.420164108276367;0-2;Random bit-flip
_dl_rtld_libname;rtld.c;301;1.760152816772461;0-2;Random bit-flip
file_size;rtld.c;874;2.475260019302368;0-2;Random bit-flip
alpha;lreg.cpp;105;2.4230878353118896;0-2;Random bit-flip
testCases;lreg.cpp;164;1.5541789531707764;0-2;Random bit-flip
library_path;rtld.c;823;2.2926323413848877;0-2;Random bit-flip
predictions;lreg.cpp;169;1.4507067203521729;0-2;Random bit-flip
N;lreg.cpp;105;2.2127954959869385;0-2;Random bit-flip
_dl_argc;rtld.c;82;2.262913942337036;0-2;Random bit-flip
