"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",57.8082191780822,"Lreg"
"3","0.2",52.0547945205479,"Lreg"
"4","0.3",49.5890410958904,"Lreg"
"5","0.4",46.8493150684931,"Lreg"
"6","0.5",46.5753424657534,"Lreg"
"7","1",39.7260273972603,"Lreg"
"8","2",20.8219178082192,"Lreg"
"9","3",16.7123287671233,"Lreg"
"10","4",14.5205479452055,"Lreg"
"11","5",14.2465753424658,"Lreg"
"12","8",13.1506849315068,"Lreg"
"13","10",12.6027397260274,"Lreg"
"14","12",12.3287671232877,"Lreg"
"15","15",12.0547945205479,"Lreg"
