"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",56.5573770491803,"Lreg"
"3","0.2",49.1803278688525,"Lreg"
"4","0.3",47.5409836065574,"Lreg"
"5","0.4",45.0819672131148,"Lreg"
"6","0.5",45.0819672131148,"Lreg"
"7","1",41.8032786885246,"Lreg"
"8","2",24.5901639344262,"Lreg"
"9","3",21.3114754098361,"Lreg"
"10","4",16.3934426229508,"Lreg"
"11","5",15.5737704918033,"Lreg"
"12","8",15.5737704918033,"Lreg"
"13","10",14.7540983606557,"Lreg"
"14","12",14.7540983606557,"Lreg"
"15","15",13.9344262295082,"Lreg"
