numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
6;0.08806068150419614;0.00463469346137025;0.0265024386769571;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.007523631041150228;0.0007580811450223087;0.002577177795729808;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;2.508044671588099;0.010677119170886106;0.5840371941938515;4;5;6;6;6;6;7;8;8;8;8;8;8;8
6;0.116787272752143;0.007415509538192399;0.035937220066630825;5;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.5991319866958689;0.006643540817429886;0.3721056231641249;5;6;6;6;6;6;8;8;8;8;8;8;8;8
6;0.06548978838078434;0.0018538773845480998;0.018809045619075208;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.2178551147886783;0.004982655613076731;0.2834029438441326;5;6;6;6;6;7;8;8;8;8;8;8;8;8
6;0.12465288702242759;0.00834244823046645;0.03856284469326617;5;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.09284844671217433;0.00463469346137025;0.02791908128716926;6;6;6;6;6;6;6;6;6;6;6;6;6;6
4;0.006856790222224;0.0023077278112053814;0.003722979587602854;4;4;4;4;4;4;4;4;4;4;4;4;4;4
8;0.05205375733484639;0.00023726931490512741;0.012151367419716423;8;8;8;8;8;8;8;8;8;8;8;8;8;8
9;479806269.0275901;0;53311878.69377485;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1.6113003975014182;0.006643540817429886;0.374932915242468;5;6;6;6;6;6;8;8;8;8;8;8;8;8
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;15.96495497688002;0.33422667397896433;5.447144697210146;0;0;0;1;1;2;4;4;4;5;6;6;6;7
9;479806269.0275901;0;53311878.69377485;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;0.004644331303369303;0.0037077547690961997;0.004246169214451313;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.030778490622830747;0.0006318436566050348;0.008296434376105971;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.029752540935408234;0.0022742434350324528;0.01010826637265429;6;6;6;6;6;6;6;6;6;6;6;6;6;6
5;0.0066686729682754586;0.0009269386922740499;0.002588283941487903;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2;0.00028569959259425263;0.00020000520014539584;0.00024285239636982422;2;2;2;2;2;2;2;2;2;2;2;2;2;2
5;0.0029068574477197845;0.0006318436566050348;0.0014268405455272815;5;5;5;5;5;5;5;5;5;5;5;5;5;5
8;0.0005173787523006943;0.00023726931490512741;0.0003572599323915438;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2;0.00042854938889772275;0.00030000780020921175;0.0003642785945534672;2;2;2;2;2;2;2;2;2;2;2;2;2;2
15;1753.7012661982537;0;203.7677225072252;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;2.0436169925096648;1.7546260544862708;1.8344169013001912;0;0;0;0;0;0;7;8;8;8;8;8;8;8
6;0.22246009055716673;0.01683570097472692;0.08054155763424464;5;5;6;6;6;6;6;6;6;6;6;6;6;6
8;3.215502555366281;1.8491855317877046;2.1611468006681336;0;0;0;0;0;0;6;7;8;8;8;8;8;8
15;1753.7012661982537;0;203.7677225072252;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;0.04668071077794765;0.0037904057250425964;0.015866377297277436;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.5829074389551365;0.006643540817429886;0.3683475685105085;5;6;6;6;6;6;8;8;8;8;8;8;8;8
1;0.0005000130003546076;0.0005000130003546076;0.0005000130003546076;1;1;1;1;1;1;1;1;1;1;1;1;1;1
