Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
T;lreg.cpp;34;2.4893808364868164;0-3;Single bit-flip
alpha;lreg.cpp;160;1.7221033573150635;0-3;Single bit-flip
_dl_skip_args;rtld.c;84;1.2591745853424072;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.0046746730804443;0-2;Single bit-flip
x;lreg.cpp;32;2.024434804916382;0-2;Single bit-flip
T;lreg.cpp;34;2.291203737258911;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;1.4699506759643555;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.9406251907348633;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.186877727508545;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8970584869384766;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4073655605316162;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4375178813934326;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.6882445812225342;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.239553451538086;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.5369071960449219;0-2;Single bit-flip
T;lreg.cpp;34;2.8952796459198;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.3476998805999756;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.5068128108978271;0-2;Single bit-flip
T;lreg.cpp;34;1.3392267227172852;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.9201219081878662;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9757132530212402;0-2;Single bit-flip
__after_morecore_hook;malloc.c;1874;10.455561399459839;0-2;Single bit-flip
i;lreg.cpp;60;1.2400200366973877;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.0357799530029297;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.238435983657837;0-2;Single bit-flip
predictions;lreg.cpp;161;3.4701831340789795;0-2;Single bit-flip
T;lreg.cpp;34;2.4957094192504883;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.6934661865234375;0-2;Single bit-flip
i;lreg.cpp;86;1.514258623123169;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.4947378635406494;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.216125249862671;0-2;Single bit-flip
i;lreg.cpp;159;2.838195562362671;0-2;Single bit-flip
pos;lreg.cpp;71;3.7095048427581787;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.9154961109161377;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0382351875305176;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.7234351634979248;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.7101564407348633;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.784515619277954;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.5335965156555176;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.7444124221801758;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1627564430236816;0-2;Single bit-flip
N;lreg.cpp;161;2.9995009899139404;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;1.6426515579223633;0-2;Single bit-flip
prevT;lreg.cpp;114;1.3648934364318848;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.295466661453247;0-2;Single bit-flip
iterations;lreg.cpp;161;2.7699403762817383;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4997038841247559;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.0476438999176025;0-2;Single bit-flip
T;lreg.cpp;34;4.8357603549957275;0-2;Single bit-flip
i;lreg.cpp;60;1.1129300594329834;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.8609986305236816;0-2;Single bit-flip
x;lreg.cpp;32;3.152696132659912;0-2;Single bit-flip
testCases;lreg.cpp;156;3.6941442489624023;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.1935491561889648;0-2;Single bit-flip
bestT;lreg.cpp;115;1.7854409217834473;0-2;Single bit-flip
x;lreg.cpp;32;1.3815739154815674;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.4239346981048584;0-2;Single bit-flip
bestT;lreg.cpp;115;2.5875463485717773;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.729426622390747;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;1.1330962181091309;0-2;Single bit-flip
i;lreg.cpp;86;2.621535539627075;0-2;Single bit-flip
i;lreg.cpp;86;1.6683921813964844;0-2;Single bit-flip
i;lreg.cpp;73;1.5266213417053223;0-2;Single bit-flip
x;w_pow_compat.c;28;2.452882766723633;0-2;Single bit-flip
i;lreg.cpp;60;3.1025240421295166;0-2;Single bit-flip
predictions;lreg.cpp;161;1.9447040557861328;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;1.9349706172943115;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.1290771961212158;0-2;Single bit-flip
y;lreg.cpp;33;4.519500494003296;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.2152578830718994;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;1.068932056427002;0-2;Single bit-flip
x;lreg.cpp;32;1.0515224933624268;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.4499988555908203;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.548427104949951;0-2;Single bit-flip
i;lreg.cpp;49;3.276174783706665;0-2;Single bit-flip
T;lreg.cpp;34;1.7456002235412598;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.0279626846313477;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;0.8491716384887695;0-2;Single bit-flip
x;lreg.cpp;32;2.2387003898620605;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3109514713287354;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4881017208099365;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5628750324249268;0-2;Single bit-flip
T;lreg.cpp;34;2.413083553314209;0-2;Single bit-flip
i;lreg.cpp;73;2.8588011264801025;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.4544224739074707;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.8336081504821777;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.2487123012542725;0-2;Single bit-flip
_rtld_global;rtld.c;231;1.6636097431182861;0-2;Single bit-flip
x;lreg.cpp;32;2.384507894515991;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;1.2137868404388428;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.8971290588378906;0-2;Single bit-flip
y;lreg.cpp;33;1.408050775527954;0-2;Single bit-flip
T;lreg.cpp;34;1.5121564865112305;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.512679100036621;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.063520908355713;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.7778480052947998;0-2;Single bit-flip
MSE;lreg.cpp;117;2.6060125827789307;0-2;Single bit-flip
i;lreg.cpp;60;1.8010623455047607;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.957085371017456;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.377213478088379;0-2;Single bit-flip
predictions;lreg.cpp;161;2.7299914360046387;0-2;Single bit-flip
y;lreg.cpp;33;1.9019381999969482;0-2;Single bit-flip
argv;lreg.cpp;144;3.2239267826080322;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.3963396549224854;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;2.035680055618286;0-2;Single bit-flip
