Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
testCases;lreg.cpp;156;1.382169485092163;0-2;Single bit-flip
predictions;lreg.cpp;161;1.648681879043579;0-2;Single bit-flip
T;lreg.cpp;34;2.3641233444213867;0-2;Single bit-flip
testCases;lreg.cpp;156;2.437758207321167;0-2;Single bit-flip
predictions;lreg.cpp;161;1.7837278842926025;0-2;Single bit-flip
T;lreg.cpp;34;2.725421905517578;0-3;Single bit-flip
predictions;lreg.cpp;161;2.8086390495300293;0-3;Single bit-flip
y;w_pow_compat.c;28;2.6793723106384277;0-3;Single bit-flip
testCases;lreg.cpp;156;1.9344007968902588;0-3;Single bit-flip
testCases;lreg.cpp;156;4.532292127609253;0-3;Single bit-flip
T;lreg.cpp;34;3.6070656776428223;0-3;Single bit-flip
testCases;lreg.cpp;156;2.764500141143799;0-3;Single bit-flip
iterations;lreg.cpp;105;1.386246919631958;0-3;Single bit-flip
N;lreg.cpp;161;4.676537275314331;0-3;Single bit-flip
i;lreg.cpp;118;2.4221839904785156;0-3;Single bit-flip
predictions;lreg.cpp;161;1.711374044418335;0-3;Single bit-flip
x;lreg.cpp;32;2.022258996963501;0-3;Single bit-flip
iterations;lreg.cpp;105;1.6171274185180664;0-3;Single bit-flip
x;lreg.cpp;32;1.9672064781188965;0-3;Single bit-flip
testCases;lreg.cpp;156;2.1497387886047363;0-3;Single bit-flip
testCases;lreg.cpp;156;1.7218239307403564;0-3;Single bit-flip
testCases;lreg.cpp;156;2.1830806732177734;0-3;Single bit-flip
iterations;lreg.cpp;105;0.9316699504852295;0-3;Single bit-flip
testCases;lreg.cpp;156;1.2030420303344727;0-3;Single bit-flip
iterations;lreg.cpp;105;1.5021858215332031;0-3;Single bit-flip
iterations;lreg.cpp;105;2.092513084411621;0-3;Single bit-flip
iterations;lreg.cpp;105;1.370424509048462;0-3;Single bit-flip
iterations;lreg.cpp;105;1.8215703964233398;0-3;Single bit-flip
testCases;lreg.cpp;156;0.9959912300109863;0-3;Single bit-flip
iterations;lreg.cpp;105;1.5873279571533203;0-3;Single bit-flip
iterations;lreg.cpp;105;1.608293056488037;0-3;Single bit-flip
__y;/usr/include/c++/7/cmath;415;3.5332536697387695;0-3;Single bit-flip
iterations;lreg.cpp;105;0.9083878993988037;0-3;Single bit-flip
prevT;lreg.cpp;114;1.9372267723083496;0-3;Single bit-flip
