Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;lreg.cpp;60;2.370283603668213;0-3;Single bit-flip
iterations;lreg.cpp;105;2.804117441177368;0-3;Single bit-flip
i;lreg.cpp;118;2.668874979019165;0-3;Single bit-flip
i;lreg.cpp;159;2.0114381313323975;0-3;Single bit-flip
pos;lreg.cpp;71;4.385363340377808;0-3;Single bit-flip
i;lreg.cpp;60;2.403329610824585;0-3;Single bit-flip
pos;lreg.cpp;71;2.237804651260376;0-3;Single bit-flip
i;lreg.cpp;86;3.379366397857666;0-3;Single bit-flip
i;lreg.cpp;118;2.9533321857452393;0-3;Single bit-flip
i;lreg.cpp;118;3.8596930503845215;0-3;Single bit-flip
predictions;lreg.cpp;161;2.33843731880188;0-3;Single bit-flip
pos;lreg.cpp;71;2.994767189025879;0-3;Single bit-flip
predictions;lreg.cpp;161;2.582371234893799;0-3;Single bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;2.558229684829712;0-3;Single bit-flip
predictions;lreg.cpp;161;2.3193652629852295;0-3;Single bit-flip
pD;lreg.cpp;72;2.319669485092163;0-3;Single bit-flip
bestMSE;lreg.cpp;116;2.3515172004699707;0-3;Single bit-flip
T;lreg.cpp;34;4.373272180557251;0-3;Single bit-flip
alpha;lreg.cpp;105;3.58737850189209;0-3;Single bit-flip
iterations;lreg.cpp;105;2.5867085456848145;0-3;Single bit-flip
i;lreg.cpp;118;2.691959857940674;0-3;Single bit-flip
alpha;lreg.cpp;105;3.4211044311523438;0-3;Single bit-flip
pD;lreg.cpp;72;1.9803500175476074;0-3;Single bit-flip
predictions;lreg.cpp;161;1.8487093448638916;0-3;Single bit-flip
predictions;lreg.cpp;161;2.5245463848114014;0-3;Single bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;3.7391960620880127;0-3;Single bit-flip
i;lreg.cpp;60;3.2712831497192383;0-3;Single bit-flip
predictions;lreg.cpp;161;1.4806020259857178;0-3;Single bit-flip
__first;/usr/include/c++/7/bits/stl_algobase.h;446;3.0856614112854004;0-3;Single bit-flip
pos;lreg.cpp;71;2.482131242752075;0-3;Single bit-flip
i;lreg.cpp;49;2.4931576251983643;0-3;Single bit-flip
T;lreg.cpp;34;3.0697081089019775;0-3;Single bit-flip
i;lreg.cpp;73;3.0582501888275146;0-3;Single bit-flip
alpha;lreg.cpp;105;2.8550965785980225;0-3;Single bit-flip
pos;lreg.cpp;71;2.4263651371002197;0-3;Random bit-flip
error;lreg.cpp;59;2.835639238357544;0-3;Random bit-flip
pD;lreg.cpp;72;1.6596717834472656;0-3;Random bit-flip
pos;lreg.cpp;71;4.129948139190674;0-3;Random bit-flip
alpha;lreg.cpp;105;2.025409460067749;0-3;Random bit-flip
T;lreg.cpp;34;2.8272812366485596;0-3;Random bit-flip
error;lreg.cpp;59;2.004088878631592;0-3;Random bit-flip
ln2a;../sysdeps/ieee754/dbl-64/upow.h;50;2.71235728263855;0-3;Random bit-flip
iterations;lreg.cpp;105;2.640416145324707;0-3;Random bit-flip
alpha;lreg.cpp;105;2.7803115844726562;0-3;Random bit-flip
pos;lreg.cpp;71;2.2063045501708984;0-3;Random bit-flip
pos;lreg.cpp;71;2.922118663787842;0-3;Random bit-flip
y;lreg.cpp;33;4.377729892730713;0-3;Random bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;3.215710401535034;0-3;Random bit-flip
ln2b;../sysdeps/ieee754/dbl-64/upow.h;51;2.156144857406616;0-3;Random bit-flip
bestMSE;lreg.cpp;116;3.15556263923645;0-3;Random bit-flip
x;lreg.cpp;32;2.876244068145752;0-3;Random bit-flip
T;lreg.cpp;34;2.339418888092041;0-3;Random bit-flip
iterations;lreg.cpp;105;2.11368727684021;0-3;Random bit-flip
pD;lreg.cpp;72;1.593135118484497;0-3;Random bit-flip
i;lreg.cpp;73;3.65641188621521;0-3;Random bit-flip
val;lreg.cpp;48;2.14473032951355;0-3;Random bit-flip
